"Company","Parent Company","Location","City","County","Address","Zip","Project Description","NAICS Industry Code","Year","Subsidy Value","Megadeal Contribution","Subsidy Value Adjusted For Megadeal","Program Name","Awarding Agency","Type of Subsidy","Number of Jobs or Training Slots","Wage Data","Wage Data Type","Investment Data","Source of Data","Notes","Subsidy Source","CFDA Program Number","Loan Value","State in Which Facility Is Located","HQ State of Parent","HQ Country of Parent","Ownership Structure","Major Industry of Parent","Specific Industry of Parent"
"21 Inch Philco, LLC","","California","","","","","Cheney","","2018","$2,500,000","$0","$2,500,000","Film & Television Tax Credit Program 2.0","California Film Commission","tax credit/rebate","","","","","http://film.ca.gov/wp-content/uploads/CFC-Approved-Projects-List.pdf","Year is fiscal year. Subsidy value is the amount of credit reserved. Description is production title.","state","",""," ", "","","","",""
"ABC Studios","Walt Disney","California","","","","","Code Black 3","","2018","$5,988,000","$0","$5,988,000","Film & Television Tax Credit Program 2.0","California Film Commission","tax credit/rebate","","","","","http://film.ca.gov/wp-content/uploads/CFC-Approved-Projects-List.pdf","Year is fiscal year. Subsidy value is the amount of credit reserved. Description is production title.","state","",""," ", "California","USA","publicly traded","entertainment","entertainment"
"Adrian Court Productions Inc.","","California","","","","","A Christmas Story: The Musical Live!","","2018","$1,419,000","$0","$1,419,000","Film & Television Tax Credit Program 2.0","California Film Commission","tax credit/rebate","","","","","http://film.ca.gov/wp-content/uploads/CFC-Approved-Projects-List.pdf","Year is fiscal year. Subsidy value is the amount of credit reserved. Description is production title.","state","",""," ", "","","","",""
"CBS Television Studios","CBS","California","","","","","S.W.A.T. 1","","2018","$8,195,000","$0","$8,195,000","Film & Television Tax Credit Program 2.0","California Film Commission","tax credit/rebate","","","","","http://film.ca.gov/wp-content/uploads/CFC-Approved-Projects-List.pdf","Year is fiscal year. Subsidy value is the amount of credit reserved. Description is production title.","state","",""," ", "New York","USA","publicly traded","media","media"
"Lakeshore Entertainment Group","","California","","","","","Peppermint","","2018","$2,500,000","$0","$2,500,000","Film & Television Tax Credit Program 2.0","California Film Commission","tax credit/rebate","","","","","http://film.ca.gov/wp-content/uploads/CFC-Approved-Projects-List.pdf","Year is fiscal year. Subsidy value is the amount of credit reserved. Description is production title.","state","",""," ", "","","","",""
"Midway Island Productions, Inc.","","California","","","","","Midway","","2018","$13,913,000","$0","$13,913,000","Film & Television Tax Credit Program 2.0","California Film Commission","tax credit/rebate","","","","","http://film.ca.gov/wp-content/uploads/CFC-Approved-Projects-List.pdf","Year is fiscal year. Subsidy value is the amount of credit reserved. Description is production title.","state","",""," ", "","","","",""
"Paramount Pictures Corporation","Viacom","California","","","","","Island Plaza","","2018","$21,492,000","$0","$21,492,000","Film & Television Tax Credit Program 2.0","California Film Commission","tax credit/rebate","","","","","http://film.ca.gov/wp-content/uploads/CFC-Approved-Projects-List.pdf","Year is fiscal year. Subsidy value is the amount of credit reserved. Description is production title.","state","",""," ", "New York","USA","publicly traded","entertainment","entertainment"
"Puppet Murders, LLC","","California","","","","","Happytime Murders","","2018","$2,500,000","$0","$2,500,000","Film & Television Tax Credit Program 2.0","California Film Commission","tax credit/rebate","","","","","http://film.ca.gov/wp-content/uploads/CFC-Approved-Projects-List.pdf","Year is fiscal year. Subsidy value is the amount of credit reserved. Description is production title.","state","",""," ", "","","","",""
"River Bend Productions, LLC","","California","","","","","Bird Box","","2018","$2,500,000","$0","$2,500,000","Film & Television Tax Credit Program 2.0","California Film Commission","tax credit/rebate","","","","","http://film.ca.gov/wp-content/uploads/CFC-Approved-Projects-List.pdf","Year is fiscal year. Subsidy value is the amount of credit reserved. Description is production title.","state","",""," ", "","","","",""
"Second In Command Productions, LLC","","California","","","","","Veep 7","","2018","$7,272,000","$0","$7,272,000","Film & Television Tax Credit Program 2.0","California Film Commission","tax credit/rebate","","","","","http://film.ca.gov/wp-content/uploads/CFC-Approved-Projects-List.pdf","Year is fiscal year. Subsidy value is the amount of credit reserved. Description is production title.","state","",""," ", "","","","",""
"Twentieth Century Fox Film Corporation","Twenty-First Century Fox","California","","","","","This Is Us 2","","2018","$9,909,000","$0","$9,909,000","Film & Television Tax Credit Program 2.0","California Film Commission","tax credit/rebate","","","","","http://film.ca.gov/wp-content/uploads/CFC-Approved-Projects-List.pdf","Year is fiscal year. Subsidy value is the amount of credit reserved. Description is production title.","state","",""," ", "New York","USA","publicly traded","entertainment","entertainment"
"Universal Television LLC","Comcast","California","","","","","Timeless 2","","2018","$9,957,000","$0","$9,957,000","Film & Television Tax Credit Program 2.0","California Film Commission","tax credit/rebate","","","","","http://film.ca.gov/wp-content/uploads/CFC-Approved-Projects-List.pdf","Year is fiscal year. Subsidy value is the amount of credit reserved. Description is production title.","state","",""," ", "Pennsylvania","USA","publicly traded","telecommunications","telecommunications; media"
"Warbird Productions, LLC.","","California","","","","","Captain Marvel","","2018","$20,755,000","$0","$20,755,000","Film & Television Tax Credit Program 2.0","California Film Commission","tax credit/rebate","","","","","http://film.ca.gov/wp-content/uploads/CFC-Approved-Projects-List.pdf","Year is fiscal year. Subsidy value is the amount of credit reserved. Description is production title.","state","",""," ", "","","","",""
"Murphy Brown LLC","WH Group","North Carolina","Warsaw","","2822 Hwy 24 West","","","","2018","$901,507","$0","$901,507","Duplin County: Tax Incentive","Duplin County","tax credit/rebate","54","","","$32,000,000","Direct from agency; not on web","Year is year credit is distributed. Jobs is number of jobs created.","local","",""," ", "","China","privately held","food products","meatpacking"
"US Cold Storage","Swire","North Carolina","Warsaw","","240 Bruce Costin Rd","","","","2018","$663,916","$0","$663,916","Duplin County: Tax Incentive","Duplin County","tax credit/rebate","50","","","$23,000,000","Direct from agency; not on web","Year is year credit is distributed. Jobs is number of jobs created.","local","",""," ", "","Britain","publicly traded","diversified","diversified"
"Depot Development G.P.","","Tennessee","Knoxville","Knox","203 W. Depot Avenue","","","","2018","undisclosed","$0","$0","Knoxville: PILOT","Industrial Development Board of the City of Knoxville","property tax abatement","","","","","http://www.knoxdevelopment.org/LinkClick.aspx?fileticket=qI0cwpo4wjA%3d&tabid=120&mid=627","Subsidy value is undisclosed. Year is year lease was approved. ","local","",""," ", "","","","",""
"GREAT RIVERS COMMUNITY CAPITAL","","United States","","","","","FINANCIAL ASSISTANCE AWARD","","2018","$6,905","$0","$6,905","Community Development Financial Institutions Program","Treasury Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","21.02",""," ", "","","","",""
"OUR MICROLENDING LLC","","United States","","","","","FINANCIAL ASSISTANCE AWARD","","2018","$686,500","$0","$686,500","Community Development Financial Institutions Program","Treasury Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","21.02",""," ", "","","","",""
"THE HOSPITAL FOR SPECIAL SURGERY FUND INC","","United States","","","","","SHF: LARGE: COLLABORATIVE RESEARCH: MOLECULAR COMPUTING FOR THE REAL WORLD","","2018","$3,945","$0","$3,945","NSF Computer and Information Science and Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.07","","New York", "","","","",""
"DANSI ENGINEERING LTD.","","United States","","","","","THE PROPOSAL TITLED 'UNSTEADY AERODYNAMIC MODELING AND OPTIMIZATION USING OVERSET GRIDS' AND THE ASSOCIATED BUDGET DATED 22 JULY 2013 ARE HEREBY INCO","","2018","$4,500","$0","$4,500","Air Force Defense Research Sciences Program","Defense Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","12.8","","Colorado", "","","","",""
